,Defunciones
5067,-0.2987482084835436
1115,-0.2314365248922774
1475,-0.2987482084835436
5499,-0.2763109806197882
5196,-0.3043575154494825
70,-0.3043575154494825
1755,-0.3043575154494825
2323,-0.0407200880503562
3443,-0.2931389015176048
4436,-0.2875295945516659
834,0.105121893064054
4415,-0.2875295945516659
57,-0.2538737527560328
2510,-0.2987482084835436
2657,0.2229173393487699
5214,-0.3043575154494825
246,-0.3043575154494825
4498,-0.2875295945516659
4915,-0.2146086039944608
3816,-0.3043575154494825
4737,-0.2987482084835436
1295,2.186174777427369
4487,-0.2987482084835436
3714,-0.3043575154494825
294,-0.1921713761307054
5254,0.4697268458500797
2527,1.355997346468419
2184,-0.2931389015176048
2407,-0.2931389015176048
1586,-0.3043575154494825
1482,-0.2650923666879105
5269,-0.3043575154494825
514,-0.1865620691647665
1011,0.5033826876457128
4379,-0.2594830597219716
1892,-0.3043575154494825
5040,-0.3043575154494825
4744,-0.1977806830966442
2108,-0.3043575154494825
406,0.3575407065313025
450,0.262182488110342
32,-0.2370458318582162
5178,-0.3043575154494825
2118,-0.2707016736538494
4156,-0.3043575154494825
3124,-0.3043575154494825
2635,0.3519313995653637
5286,-0.3043575154494825
3732,-0.3043575154494825
1742,-0.3043575154494825
630,-0.2763109806197882
1399,-0.2426551388241551
3234,-0.3043575154494825
2014,-0.3043575154494825
1465,-0.1921713761307054
1692,-0.3043575154494825
4086,-0.3043575154494825
5199,-0.3043575154494825
3996,-0.3043575154494825
2240,5.663945096309461
4456,-0.2650923666879105
2830,0.2453545672125254
3936,-0.3043575154494825
3784,-0.3043575154494825
1514,1.2550298210815196
3766,-0.3043575154494825
2212,0.6323967478623066
2477,-0.2258272179263385
2531,-0.3043575154494825
5283,-0.3043575154494825
1515,1.8832722012666716
4603,-0.3043575154494825
1977,-0.3043575154494825
1361,2.326407451575841
5490,-0.3043575154494825
2590,0.772629422010778
3225,-0.281920287585727
720,-0.2426551388241551
938,-0.1024224646756836
122,-0.2202179109603996
1620,-0.3043575154494825
4763,-0.1865620691647665
2640,-0.3043575154494825
2378,-0.2931389015176048
4412,-0.2707016736538494
161,-0.2987482084835436
576,-0.2987482084835436
545,-0.2594830597219716
1853,-0.3043575154494825
4993,0.1892614975531368
2357,-0.3043575154494825
5166,0.1163405069959317
263,0.0434195164387265
2678,0.3968058552928746
788,-0.1529062273691334
1047,-0.2650923666879105
2193,0.3519313995653637
3171,-0.3043575154494825
890,-0.2875295945516659
5409,-0.3043575154494825
1702,-0.3043575154494825
118,-0.2987482084835436
5486,-0.3043575154494825
847,-0.2931389015176048
2650,-0.1641248413010111
1595,-0.3043575154494825
2324,1.630853387799423
5177,-0.2987482084835436
471,-0.1697341482669499
401,-0.3043575154494825
4764,0.1668242696893814
3960,-0.2258272179263385
2966,-0.2538737527560328
4596,0.1107312000299928
3071,-0.3043575154494825
5136,-0.3043575154494825
1410,-0.2987482084835436
1276,-0.3043575154494825
4015,-0.3043575154494825
1644,-0.3043575154494825
5355,-0.3043575154494825
3956,-0.3043575154494825
1309,-0.3043575154494825
775,-0.3043575154494825
2736,-0.2875295945516659
3927,-0.3043575154494825
1480,-0.2987482084835436
4475,-0.2875295945516659
1571,-0.2931389015176048
3303,-0.3043575154494825
5482,-0.3043575154494825
4060,-0.3043575154494825
1990,-0.3043575154494825
2149,0.3631500134972414
156,-0.3043575154494825
2224,-0.3043575154494825
1082,-0.3043575154494825
2913,-0.3043575154494825
4380,-0.3043575154494825
2450,-0.2931389015176048
569,-0.1977806830966442
322,5.22641915296623
1509,-0.2202179109603996
22,-0.3043575154494825
2372,7.632811841354
1765,-0.3043575154494825
2338,-0.2707016736538494
4374,-0.2931389015176048
4516,-0.3043575154494825
2217,1.6476813086972395
5372,-0.3043575154494825
4502,-0.1472969204031945
2265,7.184067284078892
1406,0.144387041825626
1491,0.4809454597819574
4568,-0.2426551388241551
276,2.371281907303352
4940,0.105121893064054
4434,-0.2594830597219716
4296,-0.2987482084835436
5221,-0.2987482084835436
4228,-0.2875295945516659
695,-0.3043575154494825
2916,-0.3043575154494825
4592,-0.1529062273691334
5537,-0.2987482084835436
2033,-0.3043575154494825
2426,-0.3043575154494825
4349,-0.2538737527560328
1460,-0.2875295945516659
3509,-0.2987482084835436
326,6.909211242747888
252,-0.2033899900625831
1949,-0.3043575154494825
2846,-0.2987482084835436
1736,-0.3043575154494825
2625,-0.2987482084835436
4598,-0.2987482084835436
3726,-0.3043575154494825
1922,-0.3043575154494825
5091,-0.2875295945516659
3857,-0.3043575154494825
2701,0.1107312000299928
167,-0.281920287585727
317,-0.1697341482669499
844,-0.2987482084835436
4624,-0.2987482084835436
4770,0.4248523901225688
4132,-0.3043575154494825
3646,-0.0912038507438059
5503,-0.3043575154494825
3471,-0.1921713761307054
64,-0.0968131577097448
5064,-0.3043575154494825
888,-0.2931389015176048
2884,-0.3043575154494825
5366,-0.2033899900625831
4241,-0.281920287585727
5127,-0.3043575154494825
4252,-0.3043575154494825
996,-0.2987482084835436
1237,-0.3043575154494825
1763,-0.3043575154494825
4985,-0.1472969204031945
2689,-0.3043575154494825
581,-0.3043575154494825
5187,-0.2314365248922774
2887,-0.3043575154494825
3581,-0.1529062273691334
4457,-0.281920287585727
5182,-0.2763109806197882
2154,3.061226664113831
2162,-0.2875295945516659
1279,-0.3043575154494825
3212,-0.3043575154494825
2578,-0.2987482084835436
4093,-0.2258272179263385
3552,-0.3043575154494825
4739,-0.3043575154494825
4181,-0.2258272179263385
2773,-0.3043575154494825
2839,-0.2987482084835436
3828,-0.3043575154494825
2553,-0.2875295945516659
5515,-0.3043575154494825
3294,-0.2370458318582162
980,-0.2314365248922774
2969,-0.1416876134372557
1989,-0.3043575154494825
4368,-0.2931389015176048
1632,-0.3043575154494825
5300,-0.2987482084835436
2329,7.458923325409895
1351,-0.2875295945516659
1499,-0.2931389015176048
4442,-0.3043575154494825
1329,-0.2931389015176048
1274,0.6211781339304289
1250,1.2157646723199476
3578,-0.2594830597219716
549,-0.1472969204031945
1766,-0.3043575154494825
296,0.2004801114850145
1265,-0.2931389015176048
1431,-0.2987482084835436
4810,0.0434195164387265
4569,-0.281920287585727
509,-0.3043575154494825
2594,1.0923599190692928
1525,-0.2987482084835436
3053,-0.281920287585727
3855,-0.3043575154494825
5424,-0.3043575154494825
3202,-0.2875295945516659
4947,0.1780428836212591
4616,0.1219498139618705
4615,-0.2146086039944608
1455,-0.3043575154494825
230,-0.2426551388241551
1389,-0.2931389015176048
5449,-0.3043575154494825
4636,-0.1472969204031945
283,5.153498162409025
2301,-0.1080317716416225
3711,-0.3043575154494825
3572,-0.2931389015176048
1470,1.2101553653540087
1969,-0.3043575154494825
5291,-0.3043575154494825
4889,-0.2987482084835436
1357,-0.0351107810844174
4501,-0.2931389015176048
5122,0.1107312000299928
1855,-0.3043575154494825
760,-0.2987482084835436
1687,-0.3043575154494825
1031,0.6380060548282455
3540,0.0153729816090323
2714,-0.2987482084835436
3433,-0.3043575154494825
3140,-0.2875295945516659
88,-0.2987482084835436
5087,-0.3043575154494825
2762,-0.0014549392887842
1489,-0.0912038507438059
2826,-0.1865620691647665
206,-0.2875295945516659
2577,-0.3043575154494825
4733,-0.2931389015176048
2526,2.292751609780208
648,-0.2875295945516659
4698,-0.2033899900625831
4111,-0.3043575154494825
995,-0.3043575154494825
4514,-0.3043575154494825
2111,-0.3043575154494825
4359,-0.2987482084835436
4059,-0.3043575154494825
1118,1.395262495229991
3108,-0.3043575154494825
1432,-0.3043575154494825
4336,-0.2987482084835436
1240,-0.3043575154494825
2720,0.1724335766553202
4523,-0.2875295945516659
667,-0.3043575154494825
880,-0.2987482084835436
1916,-0.3043575154494825
3520,-0.3043575154494825
1319,3.347301319376713
3696,-0.3043575154494825
3073,-0.2987482084835436
1891,-0.3043575154494825
5088,-0.2987482084835436
1921,-0.3043575154494825
4533,-0.2987482084835436
4963,-0.2033899900625831
1815,-0.3043575154494825
3826,-0.3043575154494825
900,0.0041543676771545
5153,-0.3043575154494825
4994,-0.2987482084835436
435,3.5155805283548784
5308,-0.3043575154494825
4759,-0.281920287585727
3054,-0.2538737527560328
2346,1.6196347738675452
3126,-0.3043575154494825
1951,-0.3043575154494825
2754,-0.3043575154494825
3786,-0.3043575154494825
2048,-0.3043575154494825
1478,-0.2931389015176048
3098,-0.2594830597219716
498,5.097405092749636
2841,-0.3043575154494825
2793,0.7501921941470225
2592,2.444202897860557
1104,-0.3043575154494825
325,3.425831616899857
345,2.1469096286657976
4020,-0.3043575154494825
3192,-0.3043575154494825
23,-0.3043575154494825
1,-0.3043575154494825
3523,-0.3043575154494825
3595,-0.3043575154494825
1800,-0.3043575154494825
708,-0.3043575154494825
1523,-0.3043575154494825
983,-0.2370458318582162
1497,-0.2987482084835436
1752,-0.3043575154494825
5542,-0.281920287585727
555,-0.3043575154494825
2343,-0.2594830597219716
3001,-0.2987482084835436
4697,-0.2931389015176048
2653,-0.1753434552328888
5489,-0.3043575154494825
5462,-0.3043575154494825
4646,-0.3043575154494825
3638,-0.3043575154494825
2591,0.1499963487915648
1155,-0.3043575154494825
2769,0.9801737797505156
2339,-0.2987482084835436
5274,0.1556056557575037
5383,-0.3043575154494825
982,-0.0855945437778671
4894,0.2509638741784643
2394,4.429897563802912
1338,1.698165071390689
953,-0.2987482084835436
1738,-0.3043575154494825
1848,-0.3043575154494825
2102,-0.3043575154494825
3836,-0.3043575154494825
4668,-0.3043575154494825
4995,-0.3043575154494825
3653,-0.3043575154494825
927,-0.3043575154494825
4238,-0.281920287585727
4672,-0.3043575154494825
1490,0.4865547667478963
868,-0.2875295945516659
1906,-0.3043575154494825
480,6.768978568599416
3002,-0.3043575154494825
3925,-0.3043575154494825
3609,-0.3043575154494825
803,-0.2931389015176048
4284,-0.2987482084835436
2215,0.3407127856334859
4820,-0.2763109806197882
536,-0.3043575154494825
2724,0.9240807100911272
4137,-0.2146086039944608
2706,-0.3043575154494825
2768,0.7445828871810837
4868,-0.1641248413010111
3584,0.1780428836212591
2528,0.8399411056020443
4176,-0.3043575154494825
4919,-0.1865620691647665
