,grandes grupos CIE-10,mes,tramo edad cumplida,sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rango1,rango2,rango3,Defunciones
32,1,2,6,0,4,2,2,1,0,0,1,0,0,1,0,1,0,0,-0.1437011528394631,-0.2635329434687805,-0.3035288569825632,-0.23704583185821623
33,1,2,6,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,-0.22429917312778871,-0.293787579707229,-0.3035288569825632,-0.27631098061978826
34,1,2,7,0,2,0,2,2,2,3,1,1,1,1,2,0,1,1,-0.15982075689712824,-0.1878963528726591,-0.24634450305211394,-0.19778068309664423
35,1,2,7,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,-0.22429917312778871,-0.2635329434687805,-0.32259030829271296,-0.2707016736538494
36,1,2,8,0,0,0,0,1,2,2,1,1,1,1,0,1,1,0,-0.24041877718545385,-0.20302367099188337,-0.28446740567241346,-0.2426551388241551
37,1,2,8,1,1,1,1,1,3,2,0,1,0,0,2,1,0,0,-0.17594036095479335,-0.2484056253495562,-0.26540595436226366,-0.2314365248922774
38,1,2,9,0,4,2,2,1,0,3,0,5,2,1,0,4,1,3,-0.1437011528394631,-0.127387080395762,-0.17009869781151493,-0.14729692040319453
39,1,2,9,1,3,4,2,1,1,2,4,3,3,3,3,0,2,2,-0.11146194472413286,-0.06687780791886488,-0.18916014912166468,-0.11925038557350026
40,1,2,10,0,2,1,6,7,2,5,3,5,5,5,5,3,1,8,0.00137528367952299,0.05414073703492934,0.0014543639798328377,0.020982288574971156
41,1,2,10,1,5,13,4,8,5,9,9,12,6,9,7,7,2,6,0.27540855265983005,0.38694173565786344,0.0967616205305816,0.2677917950762808
42,1,2,11,0,0,2,0,0,0,3,2,1,2,1,1,2,3,1,-0.25653838124311895,-0.15764171663421053,-0.18916014912166468,-0.2033899900625831
43,1,2,11,1,2,3,4,9,4,4,6,2,4,5,5,3,3,12,0.06585369991018347,0.023886100796480784,0.11582307184073135,0.065856744302482
44,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
45,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
46,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
47,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
48,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
49,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
50,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
51,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
52,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
53,1,3,5,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,-0.2726579853007841,-0.2635329434687805,-0.3035288569825632,-0.28192028758572707
54,1,3,6,0,5,2,2,1,0,2,2,0,1,0,0,0,0,0,-0.12758154878179798,-0.21815098911110764,-0.32259030829271296,-0.22021791096039967
55,1,3,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.25653838124311895,-0.2786602615880048,-0.3035288569825632,-0.28192028758572707
56,1,3,7,0,1,2,0,2,2,2,3,1,1,3,1,0,2,1,-0.17594036095479335,-0.14251439851498626,-0.24634450305211394,-0.18656206916476653
57,1,3,7,1,0,2,0,0,2,2,0,0,1,0,0,1,0,1,-0.22429917312778871,-0.2484056253495562,-0.28446740567241346,-0.2538737527560328
58,1,3,8,0,1,1,1,0,0,2,1,3,1,2,1,1,3,0,-0.24041877718545385,-0.15764171663421053,-0.22728305174196417,-0.20899929702852196
59,1,3,8,1,1,1,1,0,0,0,1,1,0,1,1,1,2,0,-0.24041877718545385,-0.2484056253495562,-0.24634450305211394,-0.24826444579009396
60,1,3,9,0,1,2,1,0,2,1,2,0,4,3,3,0,5,4,-0.19205996501245848,-0.14251439851498626,-0.09385289257091592,-0.14729692040319453
61,1,3,9,1,3,2,1,6,2,2,1,2,4,1,1,2,2,0,-0.0631031325511375,-0.14251439851498626,-0.22728305174196417,-0.1416876134372557
62,1,3,10,0,7,4,9,4,4,2,6,5,2,3,4,3,6,5,0.1625713242561742,-0.021495853561192046,0.02051581528998259,0.0546381303706043
63,1,3,10,1,5,11,13,7,8,7,6,8,5,5,0,5,7,11,0.42048498917881616,0.17515928198872355,0.11582307184073135,0.2453545672125254
64,1,3,11,0,2,1,1,4,4,4,5,1,1,2,3,3,4,2,-0.09534234066646774,-0.09713244415731344,-0.09385289257091592,-0.09681315770974483
65,1,3,11,1,4,1,4,6,3,5,3,5,1,4,2,3,7,7,0.00137528367952299,-0.021495853561192046,0.03957726660013234,0.004154367677154587
66,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
67,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
68,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
69,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
70,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
71,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.2887775893584492,-0.293787579707229,-0.3035288569825632,-0.29874820848354366
